逻辑号	车厢号	故障类型	故障代码	故障等级	故障名称	故障报告	V>0	V=0	故障已读后发送位
1484	2	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5885
1485	3	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5886
1486	4	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5887
1487	5	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5888
1488	6	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5889
1489	7	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5890
1490	8	制动	658A	0	MCB28-F19制动面板断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5891
1491	1	制动	173F	0	BCU-B01的通讯面板-A1故障	下列功能可能失效：\n横向加速度LAC监控\n摩擦制动FB控制\n停放制动PB监控（仅变压器和中间车）\n撒砂控制SC（仅逆变器车）\n辅助压缩机控制AUX（仅变压器车）	"$KRIT [ , E1]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动-通知控制中心\n$KRIT [ , E2]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E3]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E4]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心"	"$KRIT [ , E1]\n==================== \n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度）\n$SK [Bremsvermoegen, , , , , ]\n$KRIT [ , E2]\n======================== \n变压器车\n============================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n启动措施以保证人员安全\n如必要，下令锁闭相邻轨道\n-防止列车溜走\n-关闭相应车下的停放制动(=28-SB9)隔离浮球阀\n-等待两分钟\n-车上所有四个停放制动缸进行机械紧急释放\n-确认TD-HMI上的“停放制动”菜单中的停放制动紧急释放\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度）\n如果列车仍然无法启动：\n如果主开关接通，或者主风缸管压力>7bar\n-不需要采取措施\n如果主开关断开，或者主风缸管压力<7bar"	5892
1492	2	制动	1749	0	BCU-B01内部通讯故障	制动控制单元故障，以下功能可能失效：\n-撒砂控制（仅端车和逆变器车）\n-辅助空气压缩机控制（仅变压器车）\n-总风缸压力MRP控制（仅端车和逆变器车）	"$KRIT [ , E1]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心$KRIT [ , E2]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心$KRIT [ , E3]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心$KRIT [ , E4]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心"	"$KRIT [ , E1]\n==================== \n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n$SK [Bremsvermoegen, , , , , ]$KRIT [ , E2]\n============================变压器车\n============================\n通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-启用措施以确保人身安全\n-如果需要，下令其执行关闭邻近轨道\n-确保列车安全防止其滚动"	5893
1493	3	制动	176D	0	与BCU-B01通讯面板-A1之间的通讯故障	下列功能可能失效：\n横向加速度LAC监控\n摩擦制动FB控制\n停放制动PB监控（仅变压器和中间车）\n撒砂控制SC（仅逆变器车）\n辅助压缩机控制AUX（仅变压器车）	"$KRIT [ , E1]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E2]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E3]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E4]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心"	"$KRIT [ , E1]\n==================== \n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度\n$SK[Bremsvermoegen, , , , , ]$KRIT [ , E2]\n========================\n变压器车\n============================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n启动措施以保证人员安全\n如必要，下令锁闭相邻轨道\n-防止列车溜走\n-关闭相应车下的停放制动(=28-SB9)隔离浮球阀"	5894
1494	4	制动	1768	0	与BCU主面板-A4的通讯故障	下列功能可能失效：\n车轮防滑保护系统\n横向加速度监控\n停放制动监控\n车门控制	-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌\n-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌	=========================\n端车，变压器车\n========================\n-通知乘务员，并下令执行如下操作：\n-锁闭外门，并放置标记板\n-通过车辆制动面板关闭摩擦制动\n-按下TD-HMI上“制动状态”菜单中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n=====================\n变压器车，中间车\n=============	5895
1495	5	制动	1768	0	与BCU主面板-A4的通讯故障	下列功能可能失效：\n车轮防滑保护系统\n横向加速度监控\n停放制动监控\n车门控制	-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌\n-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌\n	=========================\n端车，变压器车\n========================\n-通知乘务员，并下令执行如下操作：\n-锁闭外门，并放置标记板\n-通过车辆制动面板关闭摩擦制动\n-按下TD-HMI上“制动状态”菜单中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n=====================\n变压器车，中间车\n=============	5896
1496	6	制动	176D	0	与BCU-B01通讯面板-A1之间的通讯故障	下列功能可能失效：\n横向加速度LAC监控\n摩擦制动FB控制\n停放制动PB监控（仅变压器和中间车）\n撒砂控制SC（仅逆变器车）\n辅助压缩机控制AUX（仅变压器车）	"$KRIT [ , E1]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E2]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E3]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E4]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心"	"$KRIT [ , E1]\n==================== \n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度\n$SK [Bremsvermoegen, , , , , ]\n$KRIT [ , E2]\n======================== \n变压器车\n============================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n启动措施以保证人员安全\n如必要，下令锁闭相邻轨道\n-防止列车溜走\n-关闭相应车下的停放制动(=28-SB9)隔离浮球阀"	5897
1497	7	制动	1749	0	BCU-B07的主面板-A4故障	=========================\n端车，变压器车\n========================\n-通知乘务员，并下令执行如下操作：\n-锁闭外门，并放置标记板\n-通过车辆制动面板关闭摩擦制动\n-按下TD-HMI上“制动状态”菜单中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n=====================\n变压器车，中间车\n=============	"$KRIT [ , E1]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n$KRIT [ , E2]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n$KRIT [ , E3]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n$KRIT [ , E4]\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心"	"$KRIT [ , E1]\n====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n$SK [Bremsvermoegen, , , , , ]$KRIT [ , E2]\n============================变压器车\n============================\n通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-启用措施以确保人身安全\n-如果需要，下令其执行关闭邻近轨道\n-确保列车安全防止其滚动"	5898
1498	8	制动	173F	0	BCU-B08的主面板-A4故障	下列功能可能失效：\n横向加速度LAC监控\n摩擦制动FB控制\n停放制动PB监控（仅变压器和中间车）\n撒砂控制SC（仅逆变器车）\n辅助压缩机控制AUX（仅变压器车）	"$KRIT [ , E1]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动-通知控制中心\n$KRIT [ , E2]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E3]\n-列车以Vmax = 215 km/h运行一直到目的站-如可能，以低减速度制动\n-通知控制中心\n$KRIT [ , E4]\n-列车以Vmax = 215 km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心"	"$KRIT [ , E1]\n==================== \n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度）\n$SK [Bremsvermoegen, , , , , ]\n$KRIT [ , E2]\n======================== \n变压器车\n============================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n启动措施以保证人员安全\n如必要，下令锁闭相邻轨道\n-防止列车溜走\n-关闭相应车下的停放制动(=28-SB9)隔离浮球阀\n-等待两分钟\n-车上所有四个停放制动缸进行机械紧急释放\n-确认TD-HMI上的“停放制动”菜单中的停放制动紧急释放\n-列车以Vmax = 215 km/h持续运行到目的站（由于无法获得横向加速度）\n如果列车仍然无法启动：\n如果主开关接通，或者主风缸管压力>7bar：\n-不需要采取措施\n如果主开关断开，或者主风缸管压力<7bar"	5899
1499	1	制动	68C5	0	运行稳定监控时，至少一个车轴故障	至少一个轴的运行稳定性检测故障。\nVmax值限于215 km/h。\n在启动强制制动后，在5分钟之内减速至215 km/h。	-通知控制中心。\n-以Vmax = 215 km/h行驶至目的地。\n如果已启动强制制动：\n-在V < 215 km/h时使用注入脉冲取消强制制动。\n注意：\n如果又超过V = 215 km/h值，需要再次启动强制制动。	-通知控制中心\n。-以Vmax = 215 km/h行驶至目的地。	5900
1500	2	制动	6157	0	EC: BCU 12的MVB-PD通信故障	端车中央控制单元（CCU）与制动控制单元2之间的MVB通迅故障。\n列车冗余或受影响的端车部分制动管理器故障。	端车中央控制单元（CCU）与制动控制单元2之间的MVB通迅故障。\n列车冗余或受影响的端车部分制动管理器故障。	-通知控制中心。\n-在无列车冗余或部分制动管理器下，运行到目的地站。\n如果稳定运行已经启动：\n-通知控制中心。\n-将列车转到车间维修。	5901
1501	3	制动	6163	0	TC: BCU 21的MVB-PD通信故障	受影响车辆的下列功能可能失效：\n-空气制动的高/低压力比转变\n-运行稳定性监控\n-空气弹簧诊断\n-辅助压缩机控制。	-通知控制中心。\n-以最大时速215 km/h运行到下一站（因为无运行稳定性监控）。	"如果列车已经就绪：\n-通知列车员并执行以下操作：\n在车辆控制面板上停用空气制动。\n-在TD-HMI上的""制动状态""页面上按""制动有效率""软键。\n-参考当制动故障时应采取的措施。\n-通知控制中心。\n-以最大215 km/h的速度运行到目的地站（因为无运行稳定性监控）。\n如果列车未就绪：\n如果真空断路器连接或总风管压力> 7 BAR：\n-不需要采取措施。\n如果真空断路器断开或总风管压力< 7 \n-在TD-HMI上的""开关，牵引""页面上切除受影响牵引单元的受电弓。\n-通过连挂的TU的受电弓/真空断路器操作动车组。\n-升弓。\n-接通真空断路器。\n-一旦当MRP中有足够的压力时，就在TD-HMI上的""开关，牵引""页面上重新恢复受电弓。\n-如必要，将该受电弓变为首选受电弓，为此：\n-断开真空断路器。\n-再次降弓和升弓。\n-接通真空断路器。\n如果准备无法执行：\n-通知控制中心。\n-如可能，接通外部风源。\n如果稳定运行已经启动：\n-通知控制中心。\n-将列车转到车间维修。\n$SK [Bremsvermoegen, Traktion, , SA_freigeben, , SA_sperren]"	5902
1502	4	制动	6171	0	IC: BCU 31的MVB-PD通信故障	受影响的端车上如下功能失效：\n-空气制动高/低压力比的转换\n-运行稳定性监测\n-空气弹簧诊断-可能会影响撒沙装置。	-通知控制中心。\n-以最大时速 Vmax = 215 km/h运行到目的地站（由于没有运行稳定性监控）。\n-参考撒沙装置故障时应采取的措施。	"-通知列车员并进行如下操作：\n通过列车控制面板停止列车空气制动。\n-按下TD-HM的“制动状态”页面上的斨贫行蕯软键。\n-参考制动故障情况时应采取的措施。\n-通知控制中心。\n-以最大时速 Vmax = 215 km/h运行到目的地站（由于没有运行稳定性监控）。\n若启动稳定性操作：\n-通知控制中心。\n-将列车转移到车间进行维修。\n$SK [Bremsvermoegen, , , , , ]"	5903
1503	5	制动	6180	0	BC/FC: BCU 41 的MVB-PD通信故障	受影响的端车上如下功能失效：\n-空气制动高/低压力比的转换\n-运行稳定性监测\n-空气弹簧诊断\n-可能会影响撒沙装置。	-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌\n-列车以Vmax=215km/h运行一直到下一站\n-如可能，以低减速度制动\n-通知控制中心\n-通知列车乘务员，并令其执行以下操作：\n-锁闭外门，并放置标记牌\n	"-通知列车员并进行如下操作：\n通过列车控制面板停止列车空气制动。\n-按下TD-HM的“制动状态”页面上的斨贫行蕯软键。\n-参考制动故障情况时应采取的措施。\n-通知控制中心。\n-以最大时速 Vmax = 215 km/h运行到目的地站（由于没有运行稳定性监控）。\n若启动稳定性操作：\n-通知控制中心。\n-将列车转移到车间进行维修。\n$SK [Bremsvermoegen, , , , , ]"	5904
1504	6	制动	6163	0	TC: BCU 21的MVB-PD通信故障	受影响车辆的下列功能可能失效：\n-空气制动的高/低压力比转变\n-运行稳定性监控\n-空气弹簧诊断\n-辅助压缩机控制。	-通知控制中心。\n-以最大时速215 km/h运行到下一站（因为无运行稳定性监控）。	"如果列车已经就绪：\n-通知列车员并执行以下操作：\n在车辆控制面板上停用空气制动。\n-在TD-HMI上的""制动状态""页面上按""制动有效率""软键。\n-参考当制动故障时应采取的措施。\n-通知控制中心。\n-以最大215 km/h的速度运行到目的地站（因为无运行稳定性监控）。\n如果列车未就绪：\n如果真空断路器连接或总风管压力> 7 BAR：\n-不需要采取措施。\n如果真空断路器断开或总风管压力< 7 \n-在TD-HMI上的""开关，牵引""页面上切除受影响牵引单元的受电弓。\n-通过连挂的TU的受电弓/真空断路器操作动车组。\n-升弓。\n-接通真空断路器。\n-一旦当MRP中有足够的压力时，就在TD-HMI上的""开关，牵引""页面上重新恢复受电弓。\n-如必要，将该受电弓变为首选受电弓，为此：\n-断开真空断路器。\n-再次降弓和升弓。\n-接通真空断路器。\n如果准备无法执行：\n-通知控制中心。\n-如可能，接通外部风源。\n如果稳定运行已经启动：\n-通知控制中心。\n-将列车转到车间维修。\n$SK [Bremsvermoegen, Traktion, , SA_freigeben, , SA_sperren]"	5905
1505	7	制动	6157	0	EC: BCU 12的MVB-PD通信故障	端车中央控制单元（CCU）与制动控制单元2之间的MVB通迅故障。\n列车冗余或受影响的端车部分制动管理器故障。	端车中央控制单元（CCU）与制动控制单元2之间的MVB通迅故障。\n列车冗余或受影响的端车部分制动管理器故障。	-通知控制中心。\n-在无列车冗余或部分制动管理器下，运行到目的地站。\n如果稳定运行已经启动：\n-通知控制中心。\n-将列车转到车间维修。	5906
1506	8	制动	6156	0	运行稳定监控时，至少一个车轴故障	至少一个轴的运行稳定性检测故障。\nVmax值限于215 km/h。\n在启动强制制动后，在5分钟之内减速至215 km/h。	-通知控制中心。\n-以Vmax = 215 km/h行驶至目的地。\n如果已启动强制制动：\n-在V < 215 km/h时使用注入脉冲取消强制制动。\n注意：\n如果又超过V = 215 km/h值，需要再次启动强制制动。	-通知控制中心\n。-以Vmax = 215 km/h行驶至目的地。	5907
