1200	9400	2011	CCU has started up 	7	2	Computer Communication	<Detected fault>¡áIndication only that the CCU has started up¡á¡á¡á<Consequences>¡áIndication only.	<Causes>¡áIndication only that the CCU has started up¡á¡á¡á<Check/inspect>¡áIndication only
1248	9448	2012	I/O unit DX36 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡ávvv1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1249	9449	2012	I/O unit DX37 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1250	9450	2012	I/O unit DX38 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1251	9451	2013	I/O unit DX3A communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1252	9452	2013	I/O unit DX3B communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1253	9453	2013	I/O unit DX3C communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external¡ácontrol system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1254	9454	2014	I/O unit DX56 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1255	9455	2014	I/O unit DX57 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1256	9456	2014	I/O unit DX58 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1257	9457	2015	I/O unit AX24 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from AX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an AX I/O unit is interrupted, all input and output signals related to the lost AX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty AX I/O unit addressing.¡á3. Faulty power supply to AX I/O unit.¡á4. Faulty AX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check AX I/O unit device address.¡á4. If no faults are found the AX I/O unit is faulty.
1258	9458	2015	I/O unit AX25 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from AX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an AX I/O unit is interrupted, all input and output signals related to the lost AX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty AX I/O unit addressing.¡á3. Faulty power supply to AX I/O unit.¡á4. Faulty AX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check AX I/O unit device address.¡á4. If no faults are found the AX I/O unit is faulty.
1259	9459	2015	I/O unit DX26 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1260	9460	2015	I/O unit DX27 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1261	9461	2015	I/O unit DX28 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1262	9462	2015	I/O unit DX29 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1263	9463	2015	I/O unit DX2A communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1264	9464	2015	I/O unit DX2B communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1265	9465	2015	I/O unit DX2C communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external¡ácontrol system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1266	9466	2015	I/O unit DX2D communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1267	9467	2015	Time synchronization initiated from DDU	5	1	Computer Communication	<Detected fault>¡áTime synchronization has been initiated from the DDU.¡á¡á¡á<Consequences>¡áIndication only.	<Detected fault>¡áTime synchronization has been initiated from the DDU.¡á¡á¡á<Check/inspect>¡áIndication only.
1268	9468	2011	Data Recorder manually stopped	5	1	Computer Communication	<Detected fault>¡áThe Data Recorder has been manualy stopped.¡á¡á¡á<Consequences>¡áNo recording of diagnosics in the Data Recorder will be made untill the Data Recorder is activated again.	<Detected fault>¡áThe Data Recorder has been manualy stopped.¡á¡á¡á<Check/inspect>¡áStart the Data Recorder.
1269	9469	2015	Data Recorder automatically stopped	5	1	Computer Communication	<Detected fault>¡áThe Data Recorder has been automatically stopped due to train shutting down signal recieved.¡á¡á¡á<Consequences>¡áIndication only.	<Detected fault>¡áThe Data Recorder has been automatically stopped due to train shutting down signal recieved.¡á¡á¡á<Check/inspect>¡áIndication only.
1270	9470	2011	Data Recorder communication failure	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from the Data Recorder to the CCU.¡á¡á¡á<Consequences>¡áNo recording of diagnosics in the Data Recorder will be made.	<Detected fault>¡áCommunication is interrupted from the Data Recorder to the CCU.¡á¡á¡á<Check/inspect>¡á1. Manualy start the Data Recorder ¡á2. Restart the CCU
1271	9471	2011	Time synchronization initiated from redundant CCUO	5	1	Computer Communication	<Detected fault>¡áTime synchronization has been initiated from the redundant CCUO.¡á¡á¡á<Consequences>¡áIndication only.	<Detected fault>¡áTime synchronization has been initiated from the redundant CCUO.¡á¡á¡á<Check/inspect>¡áIndication only.
1272	9580	2011	Test event for priority 1	1	3	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1273	9581	2012	Test event for priority 1	1	3	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1274	9582	2013	Test event for priority 2	2	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1275	9583	2014	Test event for priority 2	2	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1276	9584	2015	Test event for priority 3	3	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1277	9585	2011	Test event for priority 3	3	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1278	9586	2012	Test event for priority 4	4	2	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1279	9587	2013	Test event for priority 4	4	2	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1280	9588	2014	Test event for priority 5	5	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1281	9589	2015	Test event for priority 5	5	1	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1282	9590	2011	Test event for priority 7	7	2	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9¡áTest text 10	<Causes>¡áTest text xxxxxxxxxxxxxxxxx¡áTest text2¡áTest text 3 ¡á¡á¡á<Check/inspect>¡áTest text4¡áTest text 5¡áTest text 6
1283	9591	2012	Test event for priority 7	7	2	Computer Communication	<Detected fault>¡áTest text xxxxxxxxxxxx¡áTest text2 yyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvvvvv¡á¡á¡á<Consequences>¡áTest text 4 bb¡áTest text 5 zzz¡áTest text 6 ¡áTest text 7¡áText text 8¡áTest text 9	<Causes>¡áTest text xxxxxxxxxx¡áTest text2 yyyyyyyyyyyyy¡áTest text 3 vvvvvvvvvvvvv¡á¡á¡á<Check/inspect>¡áTest text 4 bbb¡áTest text 5 zzzz¡áTest text 6 
1284	7000	2013	EBCU MVB communication failure	4	2	Brake/Air	<Detected fault>¡áCommunication is interrupted from at least one of the EBCUs in the train¡á¡á¡á<Consequences>¡áN/A	<Causes>¡á1. Faulty MVB cabling or connectors¡á2. Faulty MVB termination¡á3. Fautly EBCU¡á¡á¡á<Check/Inspect>¡á1. Check MVB cabling and connectors¡á2. Check MVB termination¡á3. See EBCU FFI documents for more information
1285	7001	2014	EBCU Major fault	4	2	Brake/Air	<Detected fault>¡áThe EBCU reported a major failure¡á¡á¡á<Consequences>¡áBrakes are not working	<Causes>¡á1. The EBCU has major failure¡á2. Faulty EBCU¡á3. Faulty I/O¡á¡á¡á<Check/Inspect>¡á1. Check EBCU maintenance documentation for more information¡á2. Check EBCU HW¡á3. Check MIO-DX units
1286	7002	2015	EBCU Minor fault	5	1	Brake/Air	<Detected fault>¡áThe EBCU reported a minor failure¡á¡á¡á<Consequences>	<Causes>¡á1. The EBCU has minor failure¡á2. Faulty EBCU¡á3. Faulty I/O¡á¡á¡á<Check/Inspect>¡á1. Check EBCU maintenance documentation for more information¡á2. Check EBCU HW¡á3. Check MIO-DX units
1287	7003	2011	Pneumatic brake isolated; bogie 1	4	2	Brake/Air	<Detected fault>¡áThe pneumatic brake is isolated in this car¡á¡á¡á<Consequences>¡áSpeed limitation	<Causes>¡á1. The brake has been isolated¡á2. Faulty EBCU¡á3. Faulty I/O¡á¡á¡á<Check/Inspect>¡á1. Check the isolation switch for the brake¡á2. Check EBCU HW¡á3. Check MIO-DX units
1288	7004	2012	Pneumatic brake isolated; bogie 2	4	2	Brake/Air	<Detected fault>¡áThe pneumatic brake is isolated in this car¡á¡á¡á<Consequences>¡áSpeed limitation	<Causes>¡á1. The brake has been isolated¡á2. Faulty EBCU¡á3. Faulty I/O¡á¡á¡á<Check/Inspect>¡á1. Check the isolation switch for the brake¡á2. Check EBCU HW¡á3. Check MIO-DX units
1289	7005	2013	Pneumatic brake isolated; car	4	2	Brake/Air	<Detected fault>¡áMismatch between I/O signal and MVB signal for zero speed¡á¡á¡á<Consequences>¡áOne is faulty	<Causes>¡á1. Faulty DX unit¡á2. Faulty EBCU¡á¡á¡á<Check/Inspect>¡á1. Check EBCU HW¡á2. Check I/O units
1290	7006	2014	Brake shutdown status	5	1	Brake/Air	<Detected fault>¡áThe EBCU has been shut down in this car.¡á¡á¡á<Consequences>¡áBrakes will not work	<Causes>¡á1. EBCU has been shut down/cut off¡á2. Cabling faulty¡á¡á¡á<Check/Inspect>¡á1. Check EBCU¡á2. Check cabling between EBCU and MIO-Dx
1291	7009	2015	Emergency brake is active	7	2	Brake/Air	<Detected fault>¡áEmergency brake is active¡á¡á¡á<Consequences>¡áEmergency brake is applied	<Causes>¡á1. Emergency brake is active¡á2. Emergency brake relay signal is wrong¡á3. DX unit is faulty¡á¡á¡á<Check/Inspect>¡á1. Check if emergency brake is active¡á2. Check relay and cabling to MIO-DX¡á3. Check MIO-DX
1292	7010	2015	EB train circuit breaker has tripped	5	1	Brake/Air	<Detected fault>¡áEmergency brake train breaker is open¡á¡á¡á<Consequences>¡áEmergency brake is applied	"<Causes>
1. Train breaker for 'emergency brake' EBTLCB is open¡á2. DX unit faulty¡á3. Cabling faulty¡á¡á¡á<Check/Inspect>¡á1. Check if circuit breaker is open¡á2. Check MIO-DX unit¡á3. Check cabling to MIO-DX"
1293	7011	2011	Circuit breaker for emergency brake is open	4	2	Brake/Air	<Detected fault>¡áThe circuit breaker for 'emergency brake' is open.¡á¡á¡á<Consequences>	<Causes>¡á1. Cricuit breaker for 'emergency brake' EBCB has tripped¡á2. DX unit faulty¡á3. Cabling faulty¡á¡á¡á<Check/Inspect>¡á1. Check if circuit breaker is open¡á2. Check MIO-DX unit¡á3. Check cabling to MIO-DX
1294	7012	2011	All parking brake released circuit breaker tripped	5	1	Brake/Air	<Detected fault>¡áThe circuit breaker for 'all parking brake released' has tripped.¡á¡á¡á<Consequences>¡á'All parking brake released' signal is not working. Traction is blocked.	<Causes>¡á1. Cricuit breaker for 'all brakes released' APBRCB has tripped¡á2. DX unit faulty¡á3. Cabling faulty¡á<Check/Inspect>¡á1. Check if circuit breaker is open¡á2. Check MIO-DX unit¡á3. Check cabling to MIO-DX
1295	7013	2012	Parking brake is active	7	2	Brake/Air	<Detected fault>¡áParking brake is applied in this car¡á¡á¡á<Consequences>¡áN/A	<Causes>¡á1. Parking brake is applied¡á2. DX unit faulty¡á3. Cabling faulty¡á¡á¡á<Check/Inspect>¡á1. Check if parking brake is applied¡á2. Check MIO-DX unit¡á3. Check cabling to MIO-DX
1296	7014	2013	WSP self test is successful	5	1	Brake/Air	<Detected fault>¡áThe WSP self test is successful.¡á¡á¡á<Consequences>¡áN/A	"<Causes>¡á¡á¡á<Check/Inspect>
"
1297	7015	2014	WSP self test is not successful	5	1	Brake/Air	<Detected fault>¡áThe WSP self test is not successful.¡á¡á¡á<Consequences>¡áN/A	"<Causes>¡á¡á¡á<Check/Inspect>
"
1298	7016	2012	WSP self test is aborted	5	1	Brake/Air	<Detected fault>¡áThe WSP self test was aborted.¡á¡á¡á<Consequences>¡áN/A	<Causes>¡á¡á¡á<Check/inspect>
1299	7017	2011	WSP cut out ED brake	7	2	Brake/Air	<Detected fault>¡áED brake cut out order from WSP.¡á¡á¡á<Consequences>¡áN/A	<Causes>¡áHeavy slide detected¡á¡á¡á<Check/Inspect>¡áN/A
1300	7018	2015	Train weight higher than AW3	7	2	Brake/Air	<Detected fault>¡áTrain weight higher than AW3.¡á¡á¡á<Consequences>¡áN/A	<Causes>¡áThe value sent from the EBCUs are not correct.¡á¡á¡á<Check/Inspect>¡áCheck EBCU maintenance documentation for more information.
1301	7019	2015	Train weight is invalid; < AW0-10% or > AW3+10%	7	2	Brake/Air	<Detected fault>¡áThe train weight value is out of range.¡á¡á¡á<Consequences>¡áDefault train weight will be used. May influence train performance and jerk handling.	<Causes>¡áThe value sent from the EBCUs are out of range.¡á¡á¡á<Check/Inspect>¡áCheck EBCU maintenance documentation for more information.
1302	7020	2011	Wheel diameter axle 1 calibrated > 850mm	5	1	Brake/Air	<Detected fault>¡áThe wheel diameter for axle 1 is out of range (> 850mm)¡á¡á¡á<Consequences>¡áThe axle will not be included in the speed calculation.	<Causes>¡á1. The wheel diameter for the reference axle is wrong.¡á2. The rotation value is wrong from the EBCU.¡á¡á¡á<Check/inspect>¡á1. Check the the set reference axle diameter on the HMI. ¡á2. See EBCU maintenance documentation for more information.
1303	7021	2015	Wheel diameter axle 2 calibrated > 850mm	5	1	Brake/Air	<Detected fault>¡áThe wheel diameter for axle 2 is out of range (> 850mm)¡á¡á¡á<Consequences>¡áThe axle will not be included in the speed calculation.	<Causes>¡á1. The wheel diameter for the reference axle is wrong.¡á2. The rotation value is wrong from the EBCU.¡á¡á¡á<Check/inspect>¡á1. Check the the set reference axle diameter on the HMI. ¡á2. See EBCU maintenance documentation for more information.
